FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
24,Maryland,1976,01,"2,954,000   ","1,898,335   ",64.3   ,"1,775,111   ",60.1   ,"123,224   ",6.5   
25,Massachusetts,1976,01,"4,194,000   ","2,717,090   ",64.8   ,"2,430,186   ",57.9   ,"286,904   ",10.6   
26,Michigan,1976,01,"6,417,000   ","3,952,109   ",61.6   ,"3,561,309   ",55.5   ,"390,800   ",9.9   
27,Minnesota,1976,01,"2,788,000   ","1,826,878   ",65.5   ,"1,719,782   ",61.7   ,"107,096   ",5.9   
28,Mississippi,1976,01,"1,640,000   ","963,896   ",58.8   ,"899,810   ",54.9   ,"64,086   ",6.6   
29,Missouri,1976,01,"3,464,000   ","2,095,842   ",60.5   ,"1,969,730   ",56.9   ,"126,112   ",6.0   
30,Montana,1976,01,"531,000   ","332,098   ",62.5   ,"312,404   ",58.8   ,"19,694   ",5.9   
31,Nebraska,1976,01,"1,095,000   ","708,795   ",64.7   ,"685,821   ",62.6   ,"22,974   ",3.2   
32,Nevada,1976,01,"451,000   ","321,823   ",71.4   ,"292,292   ",64.8   ,"29,531   ",9.2   
33,New Hampshire,1976,01,"593,000   ","390,460   ",65.8   ,"364,957   ",61.5   ,"25,503   ",6.5   
34,New Jersey,1976,01,"5,358,000   ","3,294,619   ",61.5   ,"2,957,075   ",55.2   ,"337,544   ",10.2   
35,New Mexico,1976,01,"792,000   ","480,333   ",60.6   ,"438,991   ",55.4   ,"41,342   ",8.6   
36,New York,1976,01,"13,196,000   ","7,661,586   ",58.1   ,"6,872,892   ",52.1   ,"788,694   ",10.3   
51000,New York city,1976,01,"5,694,000   ","3,066,821   ",53.9   ,"2,722,796   ",47.8   ,"344,025   ",11.2   
37,North Carolina,1976,01,"3,898,000   ","2,595,504   ",66.6   ,"2,426,320   ",62.2   ,"169,184   ",6.5   
38,North Dakota,1976,01,"442,000   ","277,046   ",62.7   ,"267,218   ",60.5   ,"9,828   ",3.5   
39,Ohio,1976,01,"7,701,000   ","4,750,448   ",61.7   ,"4,367,375   ",56.7   ,"383,073   ",8.1   
40,Oklahoma,1976,01,"1,999,000   ","1,188,164   ",59.4   ,"1,119,186   ",56.0   ,"68,978   ",5.8   
41,Oregon,1976,01,"1,716,000   ","1,080,995   ",63.0   ,"978,055   ",57.0   ,"102,940   ",9.5   
42,Pennsylvania,1976,01,"8,774,000   ","5,122,095   ",58.4   ,"4,708,756   ",53.7   ,"413,339   ",8.1   
44,Rhode Island,1976,01,"691,000   ","441,116   ",63.8   ,"406,953   ",58.9   ,"34,163   ",7.7   
45,South Carolina,1976,01,"1,984,000   ","1,295,681   ",65.3   ,"1,200,635   ",60.5   ,"95,046   ",7.3   
46,South Dakota,1976,01,"477,000   ","309,194   ",64.8   ,"298,921   ",62.7   ,"10,273   ",3.3   
47,Tennessee,1976,01,"3,078,000   ","1,836,041   ",59.7   ,"1,725,553   ",56.1   ,"110,488   ",6.0   
48,Texas,1976,01,"8,818,000   ","5,617,371   ",63.7   ,"5,289,253   ",60.0   ,"328,118   ",5.8   
49,Utah,1976,01,"824,000   ","517,460   ",62.8   ,"487,236   ",59.1   ,"30,224   ",5.8   
50,Vermont,1976,01,"339,000   ","216,108   ",63.7   ,"197,673   ",58.3   ,"18,435   ",8.5   
51,Virginia,1976,01,"3,534,000   ","2,327,541   ",65.9   ,"2,187,221   ",61.9   ,"140,320   ",6.0   
53,Washington,1976,01,"2,598,000   ","1,583,782   ",61.0   ,"1,448,684   ",55.8   ,"135,098   ",8.5   
54,West Virginia,1976,01,"1,352,000   ","710,106   ",52.5   ,"657,528   ",48.6   ,"52,578   ",7.4   
55,Wisconsin,1976,01,"3,245,000   ","2,129,796   ",65.6   ,"2,006,373   ",61.8   ,"123,423   ",5.8   
56,Wyoming,1976,01,"270,000   ","176,413   ",65.3   ,"169,164   ",62.7   ,"7,249   ",4.1   
01,Alabama,1976,02,"2,610,000   ","1,485,944   ",56.9   ,"1,387,267   ",53.2   ,"98,677   ",6.6   
02,Alaska,1976,02,"234,000   ","160,551   ",68.6   ,"149,125   ",63.7   ,"11,426   ",7.1   
04,Arizona,1976,02,"1,626,000   ","963,209   ",59.2   ,"864,530   ",53.2   ,"98,679   ",10.2   
05,Arkansas,1976,02,"1,538,000   ","889,658   ",57.8   ,"824,864   ",53.6   ,"64,794   ",7.3   
06,California,1976,02,"15,657,000   ","9,764,813   ",62.4   ,"8,868,962   ",56.6   ,"895,851   ",9.2   
037,Los Angeles County,1976,02,"5,283,000   ","3,370,462   ",63.8   ,"3,072,073   ",58.2   ,"298,389   ",8.9   
08,Colorado,1976,02,"1,837,000   ","1,231,952   ",67.1   ,"1,160,975   ",63.2   ,"70,977   ",5.8   
09,Connecticut,1976,02,"2,251,000   ","1,439,906   ",64.0   ,"1,300,335   ",57.8   ,"139,571   ",9.7   
10,Delaware,1976,02,"418,000   ","261,472   ",62.6   ,"240,635   ",57.6   ,"20,837   ",8.0   
11,District of Columbia,1976,02,"519,000   ","334,980   ",64.5   ,"305,566   ",58.9   ,"29,414   ",8.8   
12,Florida,1976,02,"6,437,000   ","3,581,194   ",55.6   ,"3,235,370   ",50.3   ,"345,824   ",9.7   
13,Georgia,1976,02,"3,528,000   ","2,244,305   ",63.6   ,"2,056,467   ",58.3   ,"187,838   ",8.4   
15,Hawaii,1976,02,"585,000   ","407,502   ",69.7   ,"368,392   ",63.0   ,"39,110   ",9.6   
16,Idaho,1976,02,"582,000   ","365,866   ",62.9   ,"345,490   ",59.4   ,"20,376   ",5.6   
17,Illinois,1976,02,"8,136,000   ","5,123,702   ",63.0   ,"4,784,923   ",58.8   ,"338,779   ",6.6   
18,Indiana,1976,02,"3,793,000   ","2,424,654   ",63.9   ,"2,264,847   ",59.7   ,"159,807   ",6.6   
19,Iowa,1976,02,"2,069,000   ","1,329,761   ",64.3   ,"1,271,348   ",61.4   ,"58,413   ",4.4   
20,Kansas,1976,02,"1,637,000   ","1,065,778   ",65.1   ,"1,020,934   ",62.4   ,"44,844   ",4.2   
21,Kentucky,1976,02,"2,465,000   ","1,487,147   ",60.3   ,"1,403,524   ",56.9   ,"83,623   ",5.6   
22,Louisiana,1976,02,"2,678,000   ","1,518,384   ",56.7   ,"1,422,409   ",53.1   ,"95,975   ",6.3   
23,Maine,1976,02,"766,000   ","474,246   ",61.9   ,"433,187   ",56.6   ,"41,059   ",8.7   
24,Maryland,1976,02,"2,958,000   ","1,897,481   ",64.1   ,"1,774,571   ",60.0   ,"122,910   ",6.5   
25,Massachusetts,1976,02,"4,198,000   ","2,716,289   ",64.7   ,"2,428,737   ",57.9   ,"287,552   ",10.6   
26,Michigan,1976,02,"6,424,000   ","3,950,701   ",61.5   ,"3,559,095   ",55.4   ,"391,606   ",9.9   
27,Minnesota,1976,02,"2,793,000   ","1,825,936   ",65.4   ,"1,718,981   ",61.5   ,"106,955   ",5.9   
28,Mississippi,1976,02,"1,644,000   ","963,636   ",58.6   ,"899,653   ",54.7   ,"63,983   ",6.6   
29,Missouri,1976,02,"3,469,000   ","2,094,667   ",60.4   ,"1,968,740   ",56.8   ,"125,927   ",6.0   
30,Montana,1976,02,"532,000   ","332,029   ",62.4   ,"312,378   ",58.7   ,"19,651   ",5.9   
31,Nebraska,1976,02,"1,096,000   ","708,466   ",64.6   ,"685,507   ",62.5   ,"22,959   ",3.2   
32,Nevada,1976,02,"454,000   ","321,589   ",70.8   ,"292,023   ",64.3   ,"29,566   ",9.2   
33,New Hampshire,1976,02,"595,000   ","390,099   ",65.6   ,"364,611   ",61.3   ,"25,488   ",6.5   
34,New Jersey,1976,02,"5,363,000   ","3,293,649   ",61.4   ,"2,956,551   ",55.1   ,"337,098   ",10.2   
35,New Mexico,1976,02,"795,000   ","480,035   ",60.4   ,"438,745   ",55.2   ,"41,290   ",8.6   
36,New York,1976,02,"13,202,000   ","7,659,445   ",58.0   ,"6,871,925   ",52.1   ,"787,520   ",10.3   
51000,New York city,1976,02,"5,692,000   ","3,065,658   ",53.9   ,"2,722,198   ",47.8   ,"343,460   ",11.2   
37,North Carolina,1976,02,"3,905,000   ","2,594,800   ",66.4   ,"2,425,263   ",62.1   ,"169,537   ",6.5   
38,North Dakota,1976,02,"443,000   ","276,880   ",62.5   ,"267,097   ",60.3   ,"9,783   ",3.5   
39,Ohio,1976,02,"7,706,000   ","4,750,478   ",61.6   ,"4,366,743   ",56.7   ,"383,735   ",8.1   
40,Oklahoma,1976,02,"2,003,000   ","1,187,857   ",59.3   ,"1,118,938   ",55.9   ,"68,919   ",5.8   
41,Oregon,1976,02,"1,720,000   ","1,080,139   ",62.8   ,"977,368   ",56.8   ,"102,771   ",9.5   
42,Pennsylvania,1976,02,"8,780,000   ","5,121,535   ",58.3   ,"4,707,610   ",53.6   ,"413,925   ",8.1   
44,Rhode Island,1976,02,"692,000   ","441,085   ",63.7   ,"406,968   ",58.8   ,"34,117   ",7.7   
45,South Carolina,1976,02,"1,988,000   ","1,295,491   ",65.2   ,"1,200,448   ",60.4   ,"95,043   ",7.3   
46,South Dakota,1976,02,"478,000   ","309,053   ",64.7   ,"298,798   ",62.5   ,"10,255   ",3.3   
47,Tennessee,1976,02,"3,084,000   ","1,834,895   ",59.5   ,"1,724,573   ",55.9   ,"110,322   ",6.0   
48,Texas,1976,02,"8,844,000   ","5,613,631   ",63.5   ,"5,285,584   ",59.8   ,"328,047   ",5.8   
49,Utah,1976,02,"826,000   ","517,127   ",62.6   ,"486,873   ",58.9   ,"30,254   ",5.9   
50,Vermont,1976,02,"340,000   ","216,007   ",63.5   ,"197,554   ",58.1   ,"18,453   ",8.5   
51,Virginia,1976,02,"3,543,000   ","2,326,999   ",65.7   ,"2,186,785   ",61.7   ,"140,214   ",6.0   
53,Washington,1976,02,"2,604,000   ","1,582,462   ",60.8   ,"1,447,744   ",55.6   ,"134,718   ",8.5   
54,West Virginia,1976,02,"1,355,000   ","710,194   ",52.4   ,"657,606   ",48.5   ,"52,588   ",7.4   
55,Wisconsin,1976,02,"3,248,000   ","2,128,970   ",65.5   ,"2,005,488   ",61.7   ,"123,482   ",5.8   
56,Wyoming,1976,02,"271,000   ","176,215   ",65.0   ,"168,972   ",62.4   ,"7,243   ",4.1   
01,Alabama,1976,03,"2,615,000   ","1,486,172   ",56.8   ,"1,388,303   ",53.1   ,"97,869   ",6.6   
02,Alaska,1976,03,"236,000   ","160,663   ",68.1   ,"149,350   ",63.3   ,"11,313   ",7.0   
04,Arizona,1976,03,"1,631,000   ","963,342   ",59.1   ,"865,188   ",53.0   ,"98,154   ",10.2   
05,Arkansas,1976,03,"1,539,000   ","889,444   ",57.8   ,"824,708   ",53.6   ,"64,736   ",7.3   
06,California,1976,03,"15,694,000   ","9,762,441   ",62.2   ,"8,872,549   ",56.5   ,"889,892   ",9.1   
037,Los Angeles County,1976,03,"5,292,000   ","3,370,116   ",63.7   ,"3,073,470   ",58.1   ,"296,646   ",8.8   
08,Colorado,1976,03,"1,841,000   ","1,231,229   ",66.9   ,"1,160,933   ",63.1   ,"70,296   ",5.7   
09,Connecticut,1976,03,"2,253,000   ","1,440,462   ",63.9   ,"1,301,184   ",57.8   ,"139,278   ",9.7   
10,Delaware,1976,03,"418,000   ","261,476   ",62.6   ,"240,619   ",57.6   ,"20,857   ",8.0   
11,District of Columbia,1976,03,"519,000   ","335,023   ",64.6   ,"305,775   ",58.9   ,"29,248   ",8.7   
12,Florida,1976,03,"6,452,000   ","3,580,840   ",55.5   ,"3,236,509   ",50.2   ,"344,331   ",9.6   
13,Georgia,1976,03,"3,534,000   ","2,244,744   ",63.5   ,"2,057,458   ",58.2   ,"187,286   ",8.3   
15,Hawaii,1976,03,"586,000   ","407,567   ",69.6   ,"368,557   ",62.9   ,"39,010   ",9.6   
16,Idaho,1976,03,"583,000   ","365,933   ",62.8   ,"345,578   ",59.3   ,"20,355   ",5.6   
17,Illinois,1976,03,"8,146,000   ","5,125,441   ",62.9   ,"4,787,071   ",58.8   ,"338,370   ",6.6   
18,Indiana,1976,03,"3,797,000   ","2,424,282   ",63.8   ,"2,265,943   ",59.7   ,"158,339   ",6.5   
19,Iowa,1976,03,"2,072,000   ","1,329,743   ",64.2   ,"1,271,615   ",61.4   ,"58,128   ",4.4   
20,Kansas,1976,03,"1,640,000   ","1,066,000   ",65.0   ,"1,021,134   ",62.3   ,"44,866   ",4.2   
21,Kentucky,1976,03,"2,470,000   ","1,487,375   ",60.2   ,"1,403,888   ",56.8   ,"83,487   ",5.6   
22,Louisiana,1976,03,"2,685,000   ","1,518,248   ",56.5   ,"1,422,210   ",53.0   ,"96,038   ",6.3   
23,Maine,1976,03,"767,000   ","474,452   ",61.9   ,"433,490   ",56.5   ,"40,962   ",8.6   
24,Maryland,1976,03,"2,962,000   ","1,897,262   ",64.1   ,"1,774,503   ",59.9   ,"122,759   ",6.5   
25,Massachusetts,1976,03,"4,201,000   ","2,715,151   ",64.6   ,"2,428,426   ",57.8   ,"286,725   ",10.6   
26,Michigan,1976,03,"6,430,000   ","3,952,812   ",61.5   ,"3,561,404   ",55.4   ,"391,408   ",9.9   
27,Minnesota,1976,03,"2,797,000   ","1,826,119   ",65.3   ,"1,720,116   ",61.5   ,"106,003   ",5.8   
28,Mississippi,1976,03,"1,647,000   ","963,846   ",58.5   ,"900,604   ",54.7   ,"63,242   ",6.6   
29,Missouri,1976,03,"3,473,000   ","2,095,001   ",60.3   ,"1,969,277   ",56.7   ,"125,724   ",6.0   
30,Montana,1976,03,"533,000   ","331,939   ",62.3   ,"312,368   ",58.6   ,"19,571   ",5.9   
31,Nebraska,1976,03,"1,097,000   ","708,334   ",64.6   ,"685,622   ",62.5   ,"22,712   ",3.2   
32,Nevada,1976,03,"456,000   ","321,686   ",70.5   ,"292,190   ",64.1   ,"29,496   ",9.2   
33,New Hampshire,1976,03,"596,000   ","390,329   ",65.5   ,"364,826   ",61.2   ,"25,503   ",6.5   
34,New Jersey,1976,03,"5,367,000   ","3,295,544   ",61.4   ,"2,958,434   ",55.1   ,"337,110   ",10.2   
35,New Mexico,1976,03,"798,000   ","480,143   ",60.2   ,"438,895   ",55.0   ,"41,248   ",8.6   
36,New York,1976,03,"13,207,000   ","7,660,215   ",58.0   ,"6,875,212   ",52.1   ,"785,003   ",10.2   
51000,New York city,1976,03,"5,690,000   ","3,065,397   ",53.9   ,"2,722,771   ",47.9   ,"342,626   ",11.2   
37,North Carolina,1976,03,"3,912,000   ","2,595,586   ",66.3   ,"2,426,984   ",62.0   ,"168,602   ",6.5   
38,North Dakota,1976,03,"444,000   ","276,893   ",62.4   ,"267,140   ",60.2   ,"9,753   ",3.5   
39,Ohio,1976,03,"7,711,000   ","4,751,328   ",61.6   ,"4,368,429   ",56.7   ,"382,899   ",8.1   
40,Oklahoma,1976,03,"2,007,000   ","1,187,569   ",59.2   ,"1,118,933   ",55.8   ,"68,636   ",5.8   
41,Oregon,1976,03,"1,724,000   ","1,079,205   ",62.6   ,"977,310   ",56.7   ,"101,895   ",9.4   
42,Pennsylvania,1976,03,"8,786,000   ","5,122,602   ",58.3   ,"4,707,066   ",53.6   ,"415,536   ",8.1   
44,Rhode Island,1976,03,"693,000   ","441,262   ",63.7   ,"407,226   ",58.8   ,"34,036   ",7.7   
45,South Carolina,1976,03,"1,992,000   ","1,295,257   ",65.0   ,"1,200,874   ",60.3   ,"94,383   ",7.3   
46,South Dakota,1976,03,"478,000   ","308,986   ",64.6   ,"298,885   ",62.5   ,"10,101   ",3.3   
47,Tennessee,1976,03,"3,091,000   ","1,834,582   ",59.4   ,"1,724,652   ",55.8   ,"109,930   ",6.0   
48,Texas,1976,03,"8,870,000   ","5,617,045   ",63.3   ,"5,287,449   ",59.6   ,"329,596   ",5.9   
49,Utah,1976,03,"828,000   ","517,338   ",62.5   ,"487,126   ",58.8   ,"30,212   ",5.8   
50,Vermont,1976,03,"341,000   ","216,182   ",63.4   ,"197,690   ",58.0   ,"18,492   ",8.6   
51,Virginia,1976,03,"3,551,000   ","2,326,893   ",65.5   ,"2,187,481   ",61.6   ,"139,412   ",6.0   
53,Washington,1976,03,"2,611,000   ","1,582,492   ",60.6   ,"1,448,264   ",55.5   ,"134,228   ",8.5   
54,West Virginia,1976,03,"1,358,000   ","710,718   ",52.3   ,"658,015   ",48.5   ,"52,703   ",7.4   
55,Wisconsin,1976,03,"3,252,000   ","2,129,130   ",65.5   ,"2,006,210   ",61.7   ,"122,920   ",5.8   
56,Wyoming,1976,03,"272,000   ","176,310   ",64.8   ,"169,099   ",62.2   ,"7,211   ",4.1   
01,Alabama,1976,04,"2,620,000   ","1,488,773   ",56.8   ,"1,392,012   ",53.1   ,"96,761   ",6.5   
02,Alaska,1976,04,"237,000   ","161,579   ",68.2   ,"150,293   ",63.4   ,"11,286   ",7.0   
04,Arizona,1976,04,"1,636,000   ","966,551   ",59.1   ,"869,736   ",53.2   ,"96,815   ",10.0   
05,Arkansas,1976,04,"1,541,000   ","889,753   ",57.7   ,"825,794   ",53.6   ,"63,959   ",7.2   
06,California,1976,04,"15,731,000   ","9,779,341   ",62.2   ,"8,898,260   ",56.6   ,"881,081   ",9.0   
037,Los Angeles County,1976,04,"5,302,000   ","3,373,285   ",63.6   ,"3,079,341   ",58.1   ,"293,944   ",8.7   
08,Colorado,1976,04,"1,846,000   ","1,230,613   ",66.7   ,"1,161,132   ",62.9   ,"69,481   ",5.6   
09,Connecticut,1976,04,"2,255,000   ","1,444,710   ",64.1   ,"1,306,695   ",57.9   ,"138,015   ",9.6   
10,Delaware,1976,04,"419,000   ","261,874   ",62.5   ,"240,513   ",57.4   ,"21,361   ",8.2   
11,District of Columbia,1976,04,"518,000   ","334,485   ",64.6   ,"305,689   ",59.0   ,"28,796   ",8.6   
12,Florida,1976,04,"6,468,000   ","3,582,925   ",55.4   ,"3,243,816   ",50.2   ,"339,109   ",9.5   
13,Georgia,1976,04,"3,540,000   ","2,249,912   ",63.6   ,"2,064,393   ",58.3   ,"185,519   ",8.2   
15,Hawaii,1976,04,"588,000   ","408,037   ",69.4   ,"369,504   ",62.8   ,"38,533   ",9.4   
16,Idaho,1976,04,"585,000   ","367,194   ",62.8   ,"346,778   ",59.3   ,"20,416   ",5.6   
17,Illinois,1976,04,"8,155,000   ","5,133,074   ",62.9   ,"4,795,040   ",58.8   ,"338,034   ",6.6   
18,Indiana,1976,04,"3,801,000   ","2,426,481   ",63.8   ,"2,273,744   ",59.8   ,"152,737   ",6.3   
19,Iowa,1976,04,"2,075,000   ","1,330,963   ",64.1   ,"1,274,056   ",61.4   ,"56,907   ",4.3   
20,Kansas,1976,04,"1,642,000   ","1,068,420   ",65.1   ,"1,023,588   ",62.3   ,"44,832   ",4.2   
21,Kentucky,1976,04,"2,475,000   ","1,489,193   ",60.2   ,"1,406,066   ",56.8   ,"83,127   ",5.6   
22,Louisiana,1976,04,"2,692,000   ","1,520,706   ",56.5   ,"1,423,368   ",52.9   ,"97,338   ",6.4   
23,Maine,1976,04,"769,000   ","475,218   ",61.8   ,"434,540   ",56.5   ,"40,678   ",8.6   
24,Maryland,1976,04,"2,966,000   ","1,899,792   ",64.1   ,"1,776,113   ",59.9   ,"123,679   ",6.5   
25,Massachusetts,1976,04,"4,204,000   ","2,715,429   ",64.6   ,"2,433,934   ",57.9   ,"281,495   ",10.4   
26,Michigan,1976,04,"6,436,000   ","3,962,438   ",61.6   ,"3,575,206   ",55.6   ,"387,232   ",9.8   
27,Minnesota,1976,04,"2,802,000   ","1,830,321   ",65.3   ,"1,726,097   ",61.6   ,"104,224   ",5.7   
28,Mississippi,1976,04,"1,650,000   ","965,206   ",58.5   ,"903,451   ",54.8   ,"61,755   ",6.4   
29,Missouri,1976,04,"3,477,000   ","2,100,672   ",60.4   ,"1,974,284   ",56.8   ,"126,388   ",6.0   
30,Montana,1976,04,"534,000   ","331,813   ",62.1   ,"312,319   ",58.5   ,"19,494   ",5.9   
31,Nebraska,1976,04,"1,098,000   ","709,213   ",64.6   ,"687,043   ",62.6   ,"22,170   ",3.1   
32,Nevada,1976,04,"458,000   ","322,860   ",70.5   ,"293,728   ",64.1   ,"29,132   ",9.0   
33,New Hampshire,1976,04,"598,000   ","392,335   ",65.6   ,"366,764   ",61.3   ,"25,571   ",6.5   
34,New Jersey,1976,04,"5,372,000   ","3,303,355   ",61.5   ,"2,964,587   ",55.2   ,"338,768   ",10.3   
35,New Mexico,1976,04,"801,000   ","481,645   ",60.1   ,"440,280   ",55.0   ,"41,365   ",8.6   
36,New York,1976,04,"13,213,000   ","7,667,961   ",58.0   ,"6,885,824   ",52.1   ,"782,137   ",10.2   
51000,New York city,1976,04,"5,689,000   ","3,068,554   ",53.9   ,"2,726,381   ",47.9   ,"342,173   ",11.2   
37,North Carolina,1976,04,"3,919,000   ","2,599,219   ",66.3   ,"2,434,533   ",62.1   ,"164,686   ",6.3   
38,North Dakota,1976,04,"444,000   ","277,562   ",62.5   ,"267,684   ",60.3   ,"9,878   ",3.6   
39,Ohio,1976,04,"7,716,000   ","4,751,752   ",61.6   ,"4,374,551   ",56.7   ,"377,201   ",7.9   
40,Oklahoma,1976,04,"2,011,000   ","1,187,980   ",59.1   ,"1,120,021   ",55.7   ,"67,959   ",5.7   
41,Oregon,1976,04,"1,728,000   ","1,080,341   ",62.5   ,"980,025   ",56.7   ,"100,316   ",9.3   
42,Pennsylvania,1976,04,"8,792,000   ","5,126,048   ",58.3   ,"4,709,038   ",53.6   ,"417,010   ",8.1   
44,Rhode Island,1976,04,"693,000   ","441,646   ",63.7   ,"407,652   ",58.8   ,"33,994   ",7.7   
45,South Carolina,1976,04,"1,996,000   ","1,295,058   ",64.9   ,"1,202,600   ",60.3   ,"92,458   ",7.1   
46,South Dakota,1976,04,"479,000   ","309,381   ",64.6   ,"299,531   ",62.5   ,"9,850   ",3.2   
47,Tennessee,1976,04,"3,097,000   ","1,837,926   ",59.3   ,"1,728,303   ",55.8   ,"109,623   ",6.0   
48,Texas,1976,04,"8,896,000   ","5,640,570   ",63.4   ,"5,306,954   ",59.7   ,"333,616   ",5.9   
49,Utah,1976,04,"830,000   ","519,146   ",62.5   ,"489,229   ",58.9   ,"29,917   ",5.8   
50,Vermont,1976,04,"341,000   ","216,980   ",63.6   ,"198,487   ",58.2   ,"18,493   ",8.5   
51,Virginia,1976,04,"3,559,000   ","2,328,462   ",65.4   ,"2,190,759   ",61.6   ,"137,703   ",5.9   
53,Washington,1976,04,"2,617,000   ","1,588,022   ",60.7   ,"1,453,403   ",55.5   ,"134,619   ",8.5   
54,West Virginia,1976,04,"1,360,000   ","711,417   ",52.3   ,"658,570   ",48.4   ,"52,847   ",7.4   
55,Wisconsin,1976,04,"3,256,000   ","2,132,493   ",65.5   ,"2,011,414   ",61.8   ,"121,079   ",5.7   
56,Wyoming,1976,04,"273,000   ","177,328   ",65.0   ,"170,189   ",62.3   ,"7,139   ",4.0   
01,Alabama,1976,05,"2,626,000   ","1,492,486   ",56.8   ,"1,396,244   ",53.2   ,"96,242   ",6.4   
02,Alaska,1976,05,"239,000   ","162,885   ",68.2   ,"151,490   ",63.4   ,"11,395   ",7.0   
04,Arizona,1976,05,"1,642,000   ","971,452   ",59.2   ,"875,830   ",53.3   ,"95,622   ",9.8   
05,Arkansas,1976,05,"1,542,000   ","890,591   ",57.8   ,"827,725   ",53.7   ,"62,866   ",7.1   
06,California,1976,05,"15,768,000   ","9,808,917   ",62.2   ,"8,933,049   ",56.7   ,"875,868   ",8.9   
037,Los Angeles County,1976,05,"5,311,000   ","3,378,736   ",63.6   ,"3,086,404   ",58.1   ,"292,332   ",8.7   
08,Colorado,1976,05,"1,850,000   ","1,230,693   ",66.5   ,"1,161,582   ",62.8   ,"69,111   ",5.6   
09,Connecticut,1976,05,"2,257,000   ","1,450,659   ",64.3   ,"1,314,161   ",58.2   ,"136,498   ",9.4   
10,Delaware,1976,05,"420,000   ","262,488   ",62.5   ,"240,393   ",57.2   ,"22,095   ",8.4   
11,District of Columbia,1976,05,"518,000   ","333,632   ",64.4   ,"305,301   ",58.9   ,"28,331   ",8.5   
12,Florida,1976,05,"6,483,000   ","3,586,919   ",55.3   ,"3,253,738   ",50.2   ,"333,181   ",9.3   
13,Georgia,1976,05,"3,547,000   ","2,257,245   ",63.6   ,"2,073,748   ",58.5   ,"183,497   ",8.1   
15,Hawaii,1976,05,"590,000   ","408,698   ",69.3   ,"370,752   ",62.8   ,"37,946   ",9.3   
16,Idaho,1976,05,"587,000   ","369,051   ",62.9   ,"348,547   ",59.4   ,"20,504   ",5.6   
17,Illinois,1976,05,"8,164,000   ","5,142,758   ",63.0   ,"4,804,414   ",58.8   ,"338,344   ",6.6   
